title
酒駕視同殺人？藍議員游淑慧：那吸毒駕駛、疲勞駕駛呢
二大一廣場／老飛官的建議：高屏國際機場不可行
他說韓國瑜只要搞定這3件事 網友驚呼：做好就變神了！
新的農民曆沒傅崐萁？網失望：不能拿來當交換禮物了！
水牛伯說話了！游錫堃籲賴清德留任 「為台灣勇敢承擔」
高雄觀光動起來「和韓流無關！」王浩宇：韓國瑜收割蔡政府政績
暗諷白冰冰代言高雄「摧毀質感」 丁允恭：非針對個人
檢討政院沒「庶民經濟」  鄭文燦：降低人民生活負擔
韓國瑜不願到北市輔選 吳敦義讚：人性善良的一面
蔡阿嘎堂叔蔡鼎三 連霸議員未宣誓今病逝
學運世代出頭天！陳思宇、戴瑋姍、林飛帆 他們都是台大畢業
白冰冰代言高雄 中央、地方槓上！潘恆旭轟「菁英傲慢」
是否參選2020 吳敦義：在適當時間自然會表態
郝龍斌被爆曖昧女議員 暗箭？議長爭位還非主因
蔡阿嘎堂叔蔡鼎三 來不及就職縣議員今病逝
韓國瑜「三必須」回應蔡英文 網友酸：高雄省委書記說話了
霸氣拿出打工存款幫爸買車 韓冰卻因這事嘔氣冷戰
政二代不分藍綠！這些人參選立委 背後都有爸媽影子
結婚10年「空包彈」 韓國瑜靠2招生下韓冰
一月二日各報頭條搶先報
政府擬推類負所得稅制度助弱勢 民眾：搞好經濟比較重要！
挑戰「淡水蔡依林」呂孫綾 藍發言人洪孟楷宣布：參選2020立委
8天前才嗆新潮流 前綠委李俊毅宣布：退出台南立委補選
跨年被萬人噓！台中新聞局長批斷章取義：是樂迷開玩笑
游盈隆：若當選民進黨主席 絕不會以黨領政
蔡英文提兩岸四個必須 學者張五岳：無助縮小彼此認知差異
「美國副總統」屏東迎台灣國政府總統 唱美日國歌慶建國元旦
陸委會：一中原則傷我主權 非台灣能接受的共識
「必須為兩岸人民的共同利益努力」 韓國瑜提「三個必須」回應蔡英文
蔡英文再定調兩岸關係 黨政人士：針對北京介入台灣民主的因應
分享經濟紅利 黨政高層：擬推動類負所得稅制度
蔡總統批中不合作防疫 她反嗆民進黨自己沒通關密語
5年前就提醒民進黨反省 林淑芬分享自己舊文被讚先知
正妹黨工控綠營前輩舌吻摸乳 當事人出面反擊
蔡英文提「四個必須」 蔡正元：都不是台灣要的
韓國瑜首次主持元旦升旗 頻打呵欠顯疲態
高雄想學台南邀Pokemon Go 基進黨批只是放話
不怕被說「政二代」 郭素春之子洪孟楷：母子表現能相互映照
白冰冰後找文茜和瓊瑤 高市推名人代言觀光
【邁向2019】海軍形象影片：堅守岡位 捍衛我海疆
【首次元旦談話】蔡英文喊話中國：豬瘟都無法合作 哪來兩岸一家親？
盧秀燕元旦三願望 「拚經濟、好空氣、好心情」
川普簽署亞洲再保證法 總統府誠摯感謝：台美共同價值象徵
2020試水溫 張善政「新政實驗室」今開張談國家為何成功
迎接元旦曙光 F-16戰機六度出動衝場花蓮七星潭 
力挺黨內世代交替 連勝文：滿65歲立委轉任不分區
郭國文遭影射是一例一休推手 台南七工會站台澄清
「選後只急著清理戰場」 羅文嘉直言批蔡英文：搞錯敗選重點
【備戰2020】吳敦義：在適當時間 自然會表達態度
洪孟楷參選立委喊世代交替 對手吳育昇嗆：問政跟年紀無關
藍綠合作 高屏將聯合行銷元宵燈會
白髮嬷錯把謝龍介當馬英九 馬自嘲「記憶中我還是年輕的」
「牽起我們的好日子」 5千民眾冒雨參加新北元旦升旗
【政治歌喉戰】柯P、韓國瑜尬歌唱不停 誰最優你來評比
回歸市民身分！朱立倫率團參加總統府升旗
元旦向台商喊話 蔡英文：現在是回台投資最佳時刻
兩岸監督條例有譜？ 蔡英文：建立法制面強化民主監督機制
蔡英文提「四個必須」談兩岸 國民黨酸：怪東怪西怪中共
【全文】蔡英文：為兩岸交流建三道防護網 守護台灣民主
嘉市綠地變藍天 升旗路跑再現國旗裝
「正視台灣存在、尊重台灣民意」 蔡英文用「四個必須」談兩岸關係
【升旗亮點】司儀狂破音！最後一字網友笑翻「昨天喝太多」
市境之南千人圍港 爭睹韓市長搶摸手險暴動
2019新年新希望 吳敦義率黨員升旗高喊重返執政
【元旦升旗】蔡英文穿飛行夾克唱國歌 和柯文哲零互動
葛來儀稱CSIS未邀訪 柯P今遇媒體不發一語
卓榮泰秀成長照 左下角是亮點
輔選問他「您貴姓」 高思博今質問馬英九：到底認不認識我
總統立委是否併選綠營傷腦筋 藍委：誰來選都壓不死小雞
蔡英文連三年無元旦文告 明天首度發表新年談話
辜寬敏看不起想發財選民 韓國瑜嗆：含金湯匙指指點點非常不可取
卓榮泰提五大政見 重申黨務改造不留情面沒上限
總統立委是否合併選 廖達琪：應制度化解決
國台辦指兩岸朝統一邁進 陸委會：一中原則沒市場
台東鐵花村人潮蜂擁 縣長受邀揮毫「豬事吉」
2020立委選舉 綠委盼初選時程提前
總統立委是否合併選舉 中選會：2、3月討論
謝龍介爆：郭信良退黨前求援 蔡英文難挽丟台南議長局面
【2020總統大選】蔡英文面臨黨內挑戰 朱立倫淪攻擊箭靶
【獨家】憲兵才換新式黑色勤務服又不穿 挨批圖利廠商
馬英九披國旗圍巾秒變暖男 網友融化狂喊再選2020
菲律賓風暴肆虐釀22死 外交部：無國人受波及
賴清德娶媳婦彩蛋曝光 新人熱舞嗨翻全場
2018最後一天 國軍精彩演訓看這裡
吳敦義選總統 胡幼偉建議：王金平當副手、朱立倫任閣揆
議員蔣月惠有感陸團一條龍 「壓迫底層百姓生存權力」
美國欲邀韓國瑜訪問 江啟臣：台政壇出現新局面
未提供足夠資源給自閉症者 衛福部監院遭糾正
台北101跨年煙火秀 向全球實況播送
政院稱明年加薪動力強 孫大千：放羊的孩子
學運女戰神賴品妤 cosplay啟蒙竟是從這個動漫開始
傳習近平1/2對台發表談話 學者：將重申「定海神針」
4年4萬戶社會宅 內政部：2020達標
明天爬不起來的民眾有福惹 2019元旦升旗搶先看
政壇要角娶媳嫁女辦喜事 馬英九最低調、扁家曾惹議
賴清德長子婚宴美嬌娘曝光 新人入場跳潮舞嗨翻全場
「因應高雄市民成全台首富」 這家獸醫院急診費漲近7成
管中閔獲聘為校長 陳師孟：台大是國民黨開的
「最棒里長」卸任 陳永和交接守護龍崎責任
馬英九跨年奔台南嚐小吃 吳敦義元旦高喊重返執政
元旦升旗領唱國歌 吳鳳：嬰兒聽到都不哭了
【黨主席補選】卓榮泰承諾大破大立 籲黨內團結勿分裂
普悠瑪事故 政院調查小組：本周公布訪談紀錄 
開放陸資買房前提是顧及高雄人感受 韓國瑜：話題炒到快失控
「淡水蔡依林」連任路被看衰 藍營「二王一后」爭出線
市長任內賣地遭質疑 陳菊：一生坦蕩接受任何檢驗
高雄需要國際大機場 韓國瑜：我不是隨口講講
國軍1月反登陸作戰操演 阿帕契、地獄火全出動
CPTPP今生效 外交部：盼早日接受台灣
國軍推元旦形象影片 盼突破自我創造無限可能
政府資安計畫元旦上路 公務員小心被記大過
吳敦義友人：把韓國瑜請下高雄 是勝選關鍵
國民黨太陽們轉型第一步 孫大千籲：拋棄自戀偶像包袱
國民黨太陽們轉型第一步 他勸：拋掉「自戀偶包」
2020國民黨情勢大好 老將吳育昇、林滄敏再戰立委意願高
韓國瑜喊建「夢幻大機場」 王浩宇酸：將成一場笑話
綠戰敗選將何去何從 姚文智退出政壇、陳其邁可望入閣
盧秀燕、張麗善成功轉戰百里侯 國會辦公室成熱門風水寶地
【黨魁政見會】「敗選35天看不到有意義檢討」 游盈隆轟：還在搞蔡柯會、插管案
賴清德娶媳婦超低調 喜帖沒發給行政院同仁
【政壇時光機】男神立委蔣萬安 曾趕流行剪郭富城中分頭
菲律賓民答那峨島強震 外交部籲旅菲民眾提高警覺
賴清德長子明結婚 低調只辦6桌家宴
陳其邁成立高雄智庫 實現選後深耕在地承諾 
越南團脫逃 張景森：加重販運仲介者刑責
陳其邁趴玩人體衝浪 地方媽媽跪求「不得翻背面」
服務處蹲點熬近8年 陳致中重新掛上市議員「扛棒」
綠敗選35天改革作為 府辦迴廊談話、院順應公投結果
【黨魁政見會】綠委：砲火四射難凝聚整個黨 盼提出務實做法
【獨家】行政院今檢討越南團脫逃案 入境將查驗回程機票、訂房資料
吳敦義高雄跑行程 韓國瑜「相公說」後未陪同引關注
【黨魁政見會】學者廖達琪：總統力量非常大 大家已知結局
【黨魁政見會】卓榮泰諷只會發掘問題 游盈隆：你的提問角色錯亂
【黨魁政見會】被酸選舉沒贏過 游盈隆反嗆：你去花蓮選選看
正面人體衝浪 陳其邁被問「小邁邁」：還正常啦
【黨魁政見會】游盈隆質疑初選制度 卓榮泰：你怎不直接選總統
【黨魁政見會】卓榮泰：上任將赴台北市黨部 立刻為立委補選努力
柯韓下月高雄會？ 高市府：時間形式待確認
【黨魁政見會】游盈隆提輔選阿扁功績 卓榮泰酸：用在2020太遙遠
【黨魁政見會】卓榮泰5問游盈隆 批對手裂解、貼標籤
游盈隆嗆早該辭秘書長 卓榮泰：越晚辭對你更有利
游盈隆：基層對當權派不滿 盼賴清德勇敢承擔政治責任
與卓榮泰對話 民進黨青年世代要黨「砍掉重練」
彌平派系紛爭與解決綠白競合 民進黨新任黨主席挑戰多
回顧2018 陸軍臉書影片肯定全體官兵
批韓國瑜自私遭灌臉書 蔣月惠「這是台灣自由？」
「非洲豬瘟無藥物治療」 賴清德：國人勿從疫區網購肉品回台
賴清德辭意未消 綠委：想必選後有深刻體會
化解釘子戶 《都更條例》推「3加1」（動畫）
韓國瑜拋建高屏大機場 蔣月惠怒嗆「有中國人思維就是自私」
不能趁釘子戶出門偷拆了！「都更新法」三讀通過    
鼓勵國旅 蔡英文：暖冬補助擴大為常態性
【立院休會】被問「會不會再來」 賴清德笑答「謝謝」
《都更條例》再翻修 學者張金鶚：相對進步的立法
配合都更修子法 內政部：容積獎勵明確化將於3個月內完成
中國對台利誘施壓 蔡英文：太低估台灣人民判斷力
詹雅雯、韓國瑜跨年同台破局 因為她拒唱這首歌
獨派籲不選2020  蔡英文反問：誰是獨派
挺朱立倫選總統 新北第一面看板曝光了
賴清德2018歲末記者會八大金句 《蘋果》一次整理給你看
《都更條例》設4道防線 花敬群承諾：文林苑事件不會再發生
「選錯區」惹議 林佳龍轟沈智慧台中笑話
「改革不能退縮」 蔡英文：明年繼續強化經濟成長
「賴清德留任是全黨共識」 蔡英文否認徵詢蘇貞昌接閣揆
韓國瑜邀跨年合體演唱 陳其邁這原因傾向不出席
直系親屬涉遷戶籍 12連霸里長被提當選無效
阿扁爆「蘇蔡配」內幕 揭蘇貞昌選不成總統原因
堅信翁啟惠無罪 管碧玲用一張圖說自己感想
嘉縣設非洲豬瘟緊急應變中心 「料敵從寬、禦敵從嚴」
角逐2020總統大位 王金平：說不定很快就宣布
立院三讀《都更條例》 程序完備政府可代拆釘子戶
丁守中子弟兵「石牌劉德華」 表態參選2020北投區立委
謝長廷歲末盤點成績 「指責沒績效與事實不符」
【獨家】高屏立委少2席 陳菊出面找綠委餐敘滅火
政院稱選區變更達共識 蘇嘉全打臉：昨天沒談選區劃分
公開慰留賴清德 蔡英文：他是好投手
賴清德堅辭閣揆 反虧媒體「感覺到你們都在慰留」
蔡英文不想換投 讚賴清德「好投手」盼能再一起努力
賴清德已核定 警政署副署長邱豐光接任移民署長
藍營要求撤銷龍崎掩埋場 籲黃偉哲別打假球
減少流感群聚感染 綠委要求訂定停課規定
選出女市長也沒用！婦女新知：小內閣女主管比率不到2成
